Flight Number,Departure Date,Departure Time,Arrival Date,Arrival Time,Origin Airport,Destination Airport,Airline,Status,Passenger Name,Passenger Email,Baggage Tag Number,Baggage Status
FL4894,2023-05-30,19:43,2023-10-24,05:01,FQV,QZF,Morris-Hernandez,On Time,Daniel Peterson,terryronald@example.com,BG5181,Unloaded
FL0054,2023-01-31,10:45,2023-08-22,04:55,AEF,CUI,Friedman-Hodges,On Time,Colleen Turner,yfranklin@example.net,BG9194,Delivered
FL6587,2023-07-31,20:14,2023-10-10,21:11,VBZ,DRC,Williams-Noble,Delayed,Brianna Davis,kelleychristine@example.org,BG9066,Checked-in
FL2632,2023-01-08,15:51,2023-11-21,12:18,FXJ,BQZ,Nelson Ltd,On Time,Adam Neal,brenda80@example.org,BG7275,Delivered
FL7602,2023-09-08,01:55,2023-10-20,10:53,SVX,BIX,Grant Ltd,On Time,Julian Watson,amandatorres@example.net,BG5678,Unloaded
FL7274,2023-05-29,10:09,2023-07-31,22:33,FPB,PSU,Meyer-Lambert,Delayed,Amanda Pennington,joshuadunlap@example.org,BG8776,Checked-in
FL9556,2023-01-19,11:30,2023-03-29,08:23,XPW,CCG,"Ray, Martinez and Padilla",On Time,Randy Stephens,jjenkins@example.org,BG0001,Delivered
FL8126,2023-04-19,05:52,2023-08-05,11:24,SPP,OJB,"Murray, Wilson and Ramirez",On Time,Whitney Melendez,jenniferhoover@example.org,BG7363,Delivered
FL1288,2023-05-10,21:30,2023-06-20,07:04,HAF,ADR,Barnes-Castro,On Time,Ashley Jones,fkennedy@example.com,BG3507,Delivered
FL7736,2023-03-18,07:39,2023-06-18,16:11,HMB,KOO,Chambers-Jennings,Delayed,Alicia Cruz,kristinacarroll@example.net,BG9449,Unloaded
FL2699,2023-01-11,22:10,2023-06-04,15:48,BWZ,QOI,Martinez Ltd,On Time,Kenneth Reid,fhodges@example.net,BG9706,Loaded
FL7568,2023-04-16,21:18,2023-06-28,07:19,CGV,YSQ,"Walsh, Martin and Nixon",On Time,Kara Ramirez,kdonovan@example.org,BG7033,Delivered
FL6757,2023-12-24,05:58,2023-12-25,15:38,YAU,LTC,"Ramirez, Warner and Valdez",On Time,Gabriel Gates,rbeasley@example.com,BG2794,Unloaded
FL1493,2023-04-14,12:05,2023-10-01,14:43,XHF,VCX,Perry PLC,On Time,Donald Mullins,seanglover@example.com,BG7378,Delivered
FL9722,2023-08-19,11:16,2023-11-01,08:38,FCK,UTP,Rhodes PLC,On Time,Brent Hill,donald22@example.net,BG8043,Delivered
FL5857,2023-08-08,20:01,2023-09-12,18:24,JAY,EYK,Smith and Sons,On Time,Darlene Miller,brownkatherine@example.org,BG8750,Unloaded
FL6389,2023-04-17,09:44,2023-07-05,02:54,NFX,DKC,Jackson-Robinson,On Time,Tami Davidson,justinmontgomery@example.net,BG1217,Checked-in
FL8739,2023-01-21,16:30,2023-07-22,07:55,ZKT,FBI,Robertson-Crawford,Delayed,Stacey Fisher,branchstephanie@example.com,BG8024,Checked-in
FL4988,2023-01-11,09:55,2023-04-28,08:47,CVS,FCP,Moore Ltd,Cancelled,Aaron Smith,xdawson@example.net,BG0038,Loaded
FL6197,2023-04-28,00:53,2023-11-17,17:28,HFN,JVM,"Myers, Reyes and Watson",On Time,Robert Garcia,james66@example.com,BG6724,Loaded
FL2754,2023-07-25,13:04,2023-09-29,14:43,NBY,OQT,"Smith, Cochran and Chambers",On Time,Michael Marshall,michael57@example.org,BG2111,Checked-in
FL3207,2023-11-24,12:11,2023-12-22,04:58,XLH,SLQ,Owens-Rhodes,On Time,William Rocha,kwilliams@example.net,BG9594,Checked-in
FL5049,2023-04-28,10:13,2023-09-16,13:27,BOT,VZS,"Clark, Massey and Huff",On Time,Jennifer Krueger,sandy04@example.net,BG3821,Loaded
FL0767,2023-06-24,02:34,2023-09-15,03:11,PPI,LVG,Perez Ltd,On Time,Mark Rodriguez,wilsonjohn@example.org,BG2222,Unloaded
FL0679,2023-07-07,13:55,2023-07-13,00:14,GZH,NIS,Kim and Sons,On Time,Anne Curtis,candace28@example.net,BG6815,Loaded
FL4036,2023-06-15,17:00,2023-10-11,04:30,JWU,BXS,King-Turner,Cancelled,Alicia Rodriguez,nicole67@example.net,BG8923,Unloaded
FL2102,2023-01-27,06:49,2023-09-12,21:33,VND,TFN,"Wright, Miller and Crawford",On Time,Emma Chen,manningdavid@example.com,BG5075,Loaded
FL0284,2023-06-06,05:16,2023-06-24,10:43,PRJ,CCK,Reynolds-Hill,On Time,Robert Franklin,tiffanysimmons@example.org,BG8030,Unloaded
FL8727,2023-12-07,16:31,2023-12-19,21:42,UAM,ZUH,Christensen Inc,On Time,Micheal Whitehead,aanderson@example.net,BG9563,Loaded
FL8563,2023-08-11,23:27,2023-11-07,06:24,IMU,YFG,"Rivera, Collier and Adkins",On Time,Kyle Bowen,peterclark@example.org,BG2351,Delivered
FL9232,2023-02-16,03:55,2023-06-28,11:54,UXJ,JMI,Monroe LLC,On Time,Kara Hill,elizabethdavis@example.com,BG1207,Checked-in
FL7171,2023-06-16,18:41,2023-11-28,23:35,BDQ,SML,Thompson-Perez,On Time,Dean Banks,kellyguerrero@example.com,BG4739,Unloaded
FL3228,2023-05-03,08:44,2023-10-15,15:59,XDI,UZR,Goodman Inc,On Time,Jessica Fox,hsmith@example.org,BG6731,Delivered
FL8645,2023-07-18,13:11,2023-09-12,09:37,UVU,KCX,Shelton-Friedman,On Time,Rebecca Robinson,deborah38@example.net,BG1311,Checked-in
FL3958,2023-09-15,05:02,2023-11-21,18:55,RPB,SLS,Clark-Jones,On Time,Taylor Poole,robertperkins@example.org,BG2990,Delivered
FL8985,2023-07-22,09:40,2023-08-29,04:36,QBI,CRC,Salazar PLC,On Time,Heather Avila,matthew95@example.net,BG4583,Checked-in
FL6732,2023-08-07,00:41,2023-10-21,08:23,SCD,RGJ,"Davies, Russo and Scott",Delayed,Christine Cabrera,ramirezjody@example.org,BG3158,Delivered
FL4641,2023-05-29,04:43,2023-07-10,12:31,ZIY,VDM,Harris-Turner,Cancelled,William Wagner,leonardhall@example.net,BG3862,Loaded
FL1425,2023-09-04,16:51,2023-10-16,07:04,JKH,HTO,"Jimenez, Cohen and Jackson",On Time,Reginald Watkins,edwardbean@example.com,BG0669,Unloaded
FL5378,2023-02-22,00:34,2023-11-24,08:23,CVX,EFS,Greer and Sons,Cancelled,Harold Young,browningtiffany@example.org,BG3303,Unloaded
FL3671,2023-05-28,03:58,2023-08-31,07:01,YVY,RDF,Nunez-Barton,On Time,Cynthia Waller,morgancarson@example.com,BG1281,Delivered
FL5136,2023-12-15,18:55,2023-12-28,02:04,RPD,WKK,Flores Group,On Time,Alyssa Smith,paulmarquez@example.org,BG8273,Delivered
FL2845,2023-01-21,20:55,2023-02-24,00:30,PUZ,URR,Meyer-Bauer,On Time,Shannon David,tuckerrachel@example.org,BG5551,Loaded
FL4270,2023-09-19,09:06,2023-11-24,23:25,ZAQ,TCK,Combs-Eaton,On Time,James Valdez,whitney72@example.net,BG0585,Loaded
FL0078,2023-01-03,21:47,2023-12-28,01:18,DXB,ORM,Howard Group,Delayed,Jacqueline Martin,emily36@example.net,BG2506,Checked-in
FL5134,2023-10-23,17:04,2023-10-23,09:49,PSJ,OZG,"Davis, Smith and Smith",On Time,Heather Williams,angelica78@example.com,BG1672,Checked-in
FL2733,2023-09-30,09:45,2023-12-12,23:40,YRF,AFT,Dodson Inc,On Time,Emily Cox,ywilson@example.com,BG7673,Unloaded
FL4284,2023-09-08,01:46,2023-12-21,01:45,ZOT,BNN,"Hughes, Johnson and Ramsey",Delayed,Shelly Schneider,joshua58@example.org,BG3888,Unloaded
FL4695,2023-01-25,10:00,2023-04-27,04:17,KVE,NRC,Neal-Cook,On Time,David Sweeney,nancy06@example.org,BG2092,Loaded
FL0873,2023-05-13,17:04,2023-07-20,22:23,MRD,ECP,Simpson Inc,Delayed,Christine Tucker DDS,matthew20@example.com,BG6273,Unloaded
FL9337,2023-01-24,15:20,2023-06-03,11:08,WIZ,JHL,"Rivera, Dean and Washington",On Time,Jonathan Gillespie,jennifer16@example.net,BG8702,Delivered
FL9140,2023-10-26,12:44,2023-12-30,02:28,FEX,FKB,"Lee, Irwin and Smith",Cancelled,Jade Schultz,ekemp@example.net,BG0477,Loaded
FL0326,2023-06-17,13:02,2023-06-18,08:50,WFH,ROU,Davis Ltd,On Time,Keith Hampton,jgibson@example.com,BG4396,Unloaded
FL9316,2023-11-13,14:17,2023-11-14,16:33,VMR,IJP,Dalton and Sons,On Time,Jonathan Lopez,cbarber@example.org,BG9942,Checked-in
FL4051,2023-01-23,12:37,2023-03-29,04:41,VVU,XXH,Daugherty-Hart,Cancelled,Robert Watts,corywright@example.com,BG7357,Checked-in
FL2406,2023-03-04,10:23,2023-05-10,21:19,IMB,CCH,Crawford PLC,On Time,Peter Lopez,shelley35@example.org,BG3363,Unloaded
FL0617,2023-03-27,06:22,2023-12-16,21:53,GNH,BBM,Campbell and Sons,Delayed,Nancy Smith,johnpeters@example.org,BG1693,Delivered
FL9697,2023-12-28,08:25,2023-12-28,10:04,DLP,GVD,Short PLC,Delayed,Selena Frazier,kelly81@example.com,BG3972,Loaded
FL1831,2023-06-06,18:18,2023-06-30,16:57,AEF,VLA,Simmons and Sons,On Time,Jared Moore,allison11@example.org,BG8076,Delivered
FL7797,2023-12-17,04:48,2023-12-22,18:13,VEG,PML,"Warner, Wright and Cooke",On Time,Bryan Williams,brentbeck@example.com,BG3670,Checked-in
FL9531,2023-11-29,12:13,2023-12-10,19:13,SWC,AOD,"Cardenas, Elliott and Robinson",On Time,Lisa Sellers,hughesmichael@example.net,BG7117,Checked-in
FL8520,2023-10-22,00:15,2023-10-31,06:51,NOB,KIK,Keith Group,On Time,Jason Wolf,john04@example.net,BG8016,Delivered
FL8106,2023-04-28,00:13,2023-12-15,05:36,TBF,ILN,Mills Group,On Time,Teresa Blair,zstephens@example.net,BG0136,Unloaded
FL5781,2023-04-19,12:17,2023-11-10,15:52,QLQ,QUX,Davis and Sons,On Time,Kari Wallace,sarah73@example.org,BG1472,Checked-in
FL5443,2023-05-11,23:45,2023-09-26,15:29,WHM,ETX,Howard Ltd,On Time,Maria Hill,rose50@example.com,BG9088,Checked-in
FL4302,2023-11-16,11:44,2023-12-03,14:35,ZKQ,ZTY,"Nelson, Valentine and Huerta",On Time,Nicole Smith,rebecca27@example.org,BG2278,Checked-in
FL3191,2023-08-30,18:19,2023-12-04,17:10,ZZM,MXD,Le Group,On Time,Mark Alexander,melissa36@example.net,BG2156,Delivered
FL8727,2023-12-18,09:34,2023-12-18,01:16,VUA,OWL,Acosta Inc,On Time,Brian Sullivan,ubaker@example.org,BG3053,Delivered
FL8576,2023-06-26,16:16,2023-09-16,09:31,PCT,UXJ,"Miller, Gomez and Winters",On Time,Sharon Johnson,boydrichard@example.com,BG3635,Unloaded
FL9030,2023-08-22,18:06,2023-09-03,02:24,EVT,DXV,"Huang, Taylor and Perkins",Delayed,Cheryl Martin,treid@example.com,BG3405,Checked-in
FL0171,2023-06-14,19:01,2023-10-07,17:59,XMC,PYQ,"Gould, Escobar and Zavala",On Time,Rebecca Zhang,christopherpalmer@example.com,BG0659,Loaded
FL1708,2023-05-14,10:51,2023-07-24,02:46,FIT,STW,"Cook, Hester and Coleman",On Time,Samuel Smith,teresamcdaniel@example.net,BG1828,Checked-in
FL5394,2023-12-03,12:26,2023-12-14,16:57,OWA,DUP,"Cooper, Maynard and Smith",On Time,Robert Webster,peggy17@example.org,BG5816,Delivered
FL9046,2023-04-06,17:34,2023-10-14,20:55,UGY,OBS,"Murphy, Williams and Berger",Cancelled,Makayla Martinez,robert56@example.org,BG7392,Delivered
FL9372,2023-04-02,17:06,2023-05-21,19:33,DCK,VRV,"Garcia, Smith and Fisher",Cancelled,John Galvan,tina88@example.com,BG4094,Unloaded
FL3214,2023-05-09,08:27,2023-06-24,06:31,LJM,MIE,"Hooper, Huerta and Rollins",Cancelled,Mr. Kyle Byrd III,juliewhite@example.com,BG5899,Loaded
FL6950,2023-10-08,15:38,2023-12-11,11:36,OSP,OPO,Garcia Group,Cancelled,Hannah Dudley,nguyenann@example.net,BG6912,Checked-in
FL3869,2023-05-17,09:47,2023-09-18,18:04,ILI,IWW,Anderson PLC,On Time,Antonio Preston,lindasmith@example.com,BG3352,Checked-in
FL2709,2023-11-13,06:08,2023-11-20,02:52,NXR,ZDO,"Jones, Neal and Bryant",On Time,Shannon Travis,bridgetshields@example.org,BG8020,Loaded
FL1192,2023-07-24,02:25,2023-07-29,06:59,RPK,THD,"Sanders, Hawkins and Alexander",On Time,Daniel Ayers,kennethwalters@example.net,BG3209,Delivered
FL6275,2023-11-05,10:37,2023-12-11,22:29,OYT,DOD,Bruce-Walker,On Time,Lauren Young MD,jeffrey70@example.org,BG3269,Unloaded
FL6152,2023-05-30,03:57,2023-12-13,08:12,YRQ,RAW,Owens-Reyes,On Time,Thomas Merritt,christiancrystal@example.net,BG2814,Unloaded
FL5674,2023-01-10,11:39,2023-08-22,16:41,CAU,UXS,Davenport Inc,Cancelled,Adam Rogers,harrisdanny@example.org,BG2126,Loaded
FL5359,2023-01-29,16:54,2023-06-08,17:04,ZHP,USE,Harris-Smith,On Time,Elizabeth Hendrix,michael61@example.com,BG2502,Unloaded
FL5775,2023-02-26,20:37,2023-07-14,23:19,VOR,UQR,King LLC,On Time,Tonya Farley,bhamilton@example.org,BG1437,Loaded
FL4781,2023-09-14,07:13,2023-11-05,13:26,BCF,GOP,Lewis-Wang,Delayed,Jennifer Adams,leebrian@example.net,BG3569,Delivered
FL8206,2023-09-11,01:41,2023-10-28,10:19,UEJ,PSE,Robertson Inc,On Time,James Mendez,simonchristine@example.org,BG2734,Checked-in
FL8162,2023-08-21,22:00,2023-10-05,13:55,JJJ,WQA,"Thornton, Bailey and Smith",On Time,Jason Floyd,osmith@example.org,BG7225,Loaded
FL1679,2023-08-31,16:37,2023-11-05,19:26,GTM,KWL,Krause-Thompson,On Time,Benjamin Leon,rprice@example.com,BG3567,Checked-in
FL8907,2023-01-02,23:15,2023-01-19,00:37,PAT,ZKH,Nelson-Suarez,On Time,Heidi Pope,deleonmichael@example.com,BG6087,Unloaded
FL0411,2023-03-27,01:34,2023-09-24,06:55,GLI,YEI,Taylor-Cohen,Delayed,Helen Edwards,jamie34@example.net,BG5116,Unloaded
FL2408,2023-02-14,12:05,2023-06-03,11:15,PFL,HJQ,Gonzalez-Anderson,On Time,Jennifer Rivera,christopherwilson@example.com,BG4399,Checked-in
FL0771,2023-07-27,19:14,2023-10-15,11:24,MSZ,NEO,"Small, Harmon and Fernandez",On Time,Bryan Foster,adorsey@example.com,BG9927,Loaded
FL8797,2023-08-12,14:51,2023-09-04,22:33,XXH,CUK,Jones-Scott,On Time,Stacy Foster,aaron14@example.com,BG4543,Checked-in
FL3033,2023-11-22,00:32,2023-12-06,07:55,YYY,IDG,Moran-Nelson,On Time,Michael Lewis,hfisher@example.org,BG2881,Unloaded
FL6484,2023-02-08,01:16,2023-11-20,20:27,LEB,GCP,Schultz-Trujillo,On Time,Justin Black,qsmith@example.net,BG8115,Loaded
FL5166,2023-12-18,23:33,2023-12-25,12:58,SEX,YVX,"Hernandez, Mcdonald and Freeman",On Time,Jennifer Johnson,hensleypatrick@example.org,BG6278,Checked-in
FL0813,2023-08-03,09:03,2023-08-16,09:34,HKY,NXM,Hines PLC,On Time,Mark Miller,reyesmadeline@example.net,BG3307,Unloaded
FL3738,2023-01-04,10:19,2023-10-07,03:41,JPV,NHC,Snyder-Williamson,On Time,John Pham,sharonstein@example.com,BG4783,Unloaded
FL5946,2023-08-25,23:14,2023-08-30,17:01,XQS,FDN,"Lee, Fowler and Harris",On Time,Brian Hill,wadethomas@example.com,BG4456,Loaded
FL6055,2023-01-21,02:17,2023-04-24,13:11,UAA,WCX,Jensen PLC,On Time,Nicole Hamilton,jonesscott@example.net,BG0302,Checked-in
FL7589,2023-06-17,21:26,2023-07-20,20:21,SJB,PXK,Simmons-Garcia,On Time,Ashley Ramirez,mccoyrobert@example.com,BG3321,Delivered
FL8236,2023-04-15,14:16,2023-04-16,11:12,XAC,XAY,Love-Gonzalez,On Time,Casey Colon,wharris@example.com,BG5175,Checked-in
FL4315,2023-04-05,23:43,2023-11-09,21:27,QVU,AKU,"Hunter, Perez and Hughes",On Time,Stephen Nunez,hawkinsomar@example.org,BG3772,Unloaded
FL0734,2023-11-02,03:12,2023-12-21,23:17,MKG,ETN,Willis-Lee,On Time,Zachary Lutz,bjones@example.org,BG5971,Loaded
FL1490,2023-01-04,01:50,2023-03-16,08:10,MJK,KKU,"Roberts, Shelton and Payne",On Time,Megan Montes,emily23@example.org,BG0424,Checked-in
FL8537,2023-07-07,01:30,2023-09-05,09:38,HOE,PCT,Sellers and Sons,On Time,Heather Bautista,mblair@example.org,BG7512,Delivered
FL7707,2023-04-18,01:39,2023-04-24,01:18,CPI,XTV,"Hartman, Thomas and Jacobs",On Time,Robert House,ashley04@example.org,BG5318,Loaded
FL5100,2023-12-09,05:23,2023-12-26,13:58,TVO,NQN,"Bailey, Stevens and Wilson",On Time,Madison Diaz,crystalsolis@example.org,BG9233,Loaded
FL0513,2023-12-11,02:02,2023-12-11,00:44,MNI,HDB,Gonzalez-Myers,On Time,Jeffrey George,bbanks@example.com,BG8631,Delivered
FL1514,2023-01-22,21:25,2023-09-20,19:18,VTU,AOV,"Cantu, Levine and Wilson",Delayed,Shaun Stevens,staceygentry@example.net,BG7842,Loaded
FL8263,2023-03-25,19:52,2023-10-04,04:35,ANT,RNI,Santana Ltd,On Time,Jeremy Mendez,nunezjanice@example.org,BG2187,Checked-in
FL1230,2023-08-05,15:03,2023-08-17,05:05,LRK,PPK,Lee-Bender,On Time,Jeremy Merritt,ihinton@example.com,BG8016,Delivered
FL9038,2023-02-11,13:38,2023-11-05,16:30,XRT,IHC,Solis-Robertson,Cancelled,Christine Jackson,matthewmartinez@example.org,BG0765,Delivered
FL9366,2023-11-14,00:26,2023-12-08,01:58,NCI,UJH,"Parker, Hendricks and Moore",On Time,Amy Sanders,stuart72@example.net,BG2310,Unloaded
FL2167,2023-12-03,13:18,2023-12-28,04:08,ONZ,YRP,Whitney-Thompson,On Time,Leonard Sherman,williamsstanley@example.org,BG1821,Loaded
FL4315,2023-02-27,12:01,2023-10-20,16:53,WVO,EFB,Johnson Inc,On Time,Michelle Douglas,bakerallen@example.net,BG6162,Unloaded
FL3455,2023-04-05,03:33,2023-12-10,15:22,UEC,EFV,Liu-Peterson,On Time,Michael Howard,billythomas@example.org,BG7840,Loaded
FL0287,2023-05-23,11:40,2023-12-03,19:13,SMQ,DPR,"Martinez, Hernandez and Hall",On Time,Stephanie Sanchez,morgansarah@example.com,BG1985,Delivered
FL4722,2023-09-02,07:31,2023-12-18,13:38,NWQ,DKY,Morton-Hester,Cancelled,Jamie Huang,valenciamegan@example.net,BG3388,Loaded
FL8576,2023-06-10,18:52,2023-08-16,20:07,DKG,DWP,Clark Group,Delayed,Linda Ortiz,jacob51@example.net,BG5303,Loaded
FL5073,2023-01-29,12:02,2023-06-07,10:36,RNV,LHG,Dixon-Dominguez,On Time,Andrea Wolf,matthew96@example.org,BG8748,Loaded
FL4662,2023-07-18,11:16,2023-09-28,17:04,IYY,FFW,Dawson-Anthony,On Time,Michael Cook,tracy54@example.org,BG2421,Delivered
FL5507,2023-08-12,22:21,2023-09-09,12:17,IYC,HPX,"Gonzalez, Smith and Fleming",On Time,Linda Hawkins,orobinson@example.com,BG9047,Unloaded
FL7062,2023-08-16,16:18,2023-10-22,09:43,TRP,ECA,Burton-Richards,On Time,Deanna Mendoza,grandolph@example.net,BG9679,Unloaded
FL2912,2023-04-21,05:01,2023-08-11,07:21,ZUD,TMQ,"King, Hess and Greene",On Time,Charles Young,beth40@example.com,BG1509,Delivered
FL4131,2023-11-24,08:18,2023-12-06,09:20,IMK,HHT,Johnson-Rowe,On Time,Amanda Davis,sweaver@example.org,BG2623,Delivered
FL8503,2023-05-01,02:15,2023-12-26,20:47,OXQ,CWF,"Baker, Davis and Barnes",On Time,Joanna Matthews,edaniels@example.org,BG6563,Checked-in
FL1362,2023-08-28,20:18,2023-12-10,15:57,FPL,SEO,"Vang, Phillips and Rivera",Delayed,Teresa Rangel,christopherperez@example.com,BG1594,Unloaded
FL0930,2023-12-11,22:40,2023-12-15,03:48,WCX,OGA,James-Gonzalez,Delayed,Megan Woodard,plopez@example.com,BG7160,Checked-in
FL4031,2023-07-15,10:14,2023-10-15,20:17,NBV,BWX,"Hunter, Johnson and Carter",On Time,Willie Gonzalez,oharvey@example.com,BG6695,Unloaded
FL6118,2023-08-29,04:24,2023-11-12,02:31,NEB,PEV,Sanders-Obrien,On Time,Joe Herrera,morrisbethany@example.net,BG5074,Checked-in
FL5104,2023-06-29,20:21,2023-11-01,16:59,YKC,YXL,"Bailey, Soto and Watts",On Time,James Sanchez,lanetodd@example.com,BG2774,Delivered
FL8476,2023-07-19,03:54,2023-09-27,11:30,EBN,RPL,"King, Reyes and Hicks",On Time,Thomas Hardin,hoffmanmark@example.org,BG3177,Unloaded
FL6968,2023-07-10,01:47,2023-12-28,18:52,HIB,HNR,Harrington PLC,On Time,Jasmine Wilson,mcgeelindsey@example.net,BG5496,Delivered
FL3394,2023-04-10,15:01,2023-11-24,12:59,LBY,SEK,"Alexander, Hamilton and Edwards",On Time,Andrew Crosby,anthonycooper@example.org,BG8839,Delivered
FL7834,2023-02-03,00:42,2023-02-07,20:33,OEJ,AUB,Jefferson-Jordan,On Time,Samuel Hall,tina61@example.org,BG8852,Unloaded
FL9455,2023-11-05,06:00,2023-12-08,17:29,WVC,ATH,Anderson Inc,Cancelled,Scott Rodriguez,zsmith@example.com,BG6941,Loaded
FL3812,2023-04-21,15:35,2023-10-01,12:36,BRR,KKA,Miller Inc,On Time,Debbie Mccall,sandra04@example.org,BG8323,Delivered
FL2416,2023-01-13,12:45,2023-06-05,08:02,EVS,TQF,Roberts-Williams,On Time,Susan Williams,ehoover@example.com,BG8506,Unloaded
FL9902,2023-05-20,10:45,2023-11-13,00:52,CMH,CYL,Thompson-Palmer,On Time,Cindy Moore,danielboyd@example.org,BG1441,Checked-in
FL5710,2023-05-11,23:39,2023-08-16,20:48,VEE,TGE,"Watts, Foster and Hunt",Cancelled,Ashley Wang,cnorton@example.org,BG5731,Loaded
FL2751,2023-06-17,00:35,2023-09-11,02:58,OAB,RHU,"Brewer, Powell and Chapman",On Time,Ethan Davis,heather45@example.org,BG2118,Delivered
FL7652,2023-06-30,09:29,2023-12-15,04:32,TQS,UXR,"Durham, Graham and Adams",On Time,Emma Anderson,jimenezpaula@example.org,BG2752,Delivered
FL3946,2023-09-09,13:06,2023-12-30,18:17,VEQ,WDK,Woodard-Stevenson,On Time,Amy Rodriguez,prussell@example.net,BG0210,Checked-in
FL0601,2023-02-11,20:07,2023-09-02,02:18,AYF,WQP,"Avila, Peterson and Harrison",Cancelled,Kristen Rowland,tmartinez@example.org,BG7417,Unloaded
FL3100,2023-09-18,12:44,2023-12-10,18:51,ZLJ,WRW,Brown LLC,On Time,Donald Bartlett,andresimmons@example.org,BG5898,Loaded
FL2395,2023-07-13,02:15,2023-10-18,18:58,ADQ,PQP,Rodriguez-Turner,On Time,Dennis Green,douglasmarcus@example.org,BG2633,Unloaded
FL2823,2023-01-27,10:08,2023-11-19,20:48,WVX,LDQ,Sanders LLC,On Time,Michelle Lee,dennishowe@example.com,BG7282,Delivered
FL1584,2023-11-15,12:06,2023-12-07,11:36,OFQ,RSY,Underwood-Watkins,On Time,Scott Sanders,erika34@example.net,BG8883,Unloaded
FL0266,2023-04-20,23:59,2023-08-23,04:11,FHI,FAC,Greene-Jordan,Cancelled,Jonathan Hansen,curtisstephanie@example.org,BG1278,Checked-in
FL1215,2023-12-05,19:40,2023-12-22,18:59,DUC,PIY,Martin-Mckay,On Time,Larry Little,stephensjennifer@example.org,BG9899,Delivered
FL0637,2023-09-16,06:48,2023-11-27,08:16,ZID,MFQ,Wilson-Rodgers,On Time,Natasha Garcia,briancarlson@example.org,BG2518,Checked-in
FL4020,2023-10-09,16:08,2023-11-09,23:17,YCO,IYI,"Smith, Bennett and Marshall",On Time,Benjamin Walker,helen13@example.net,BG3672,Delivered
FL7431,2023-06-02,22:23,2023-08-01,13:40,UOZ,EWH,"Mcpherson, Price and Brown",On Time,Beverly Burgess,edwardschristopher@example.org,BG2985,Delivered
FL5824,2023-01-10,18:36,2023-03-29,21:08,XQT,SVX,Lane and Sons,On Time,Elizabeth Brewer,brian16@example.org,BG9750,Unloaded
FL4895,2023-06-15,18:29,2023-08-11,01:11,BTK,QIY,"Colon, Pugh and Orozco",On Time,James Luna,nicolethompson@example.com,BG3294,Loaded
FL0183,2023-10-11,02:24,2023-11-29,08:10,XAP,QWS,"Spencer, Macias and Cobb",On Time,Robert Clayton,whitney40@example.org,BG0279,Loaded
FL6982,2023-06-28,15:09,2023-09-28,21:39,KLX,KXN,"Powell, Mcclain and Johnson",On Time,Justin Cooper,ecoffey@example.com,BG5406,Checked-in
FL2942,2023-10-25,05:33,2023-12-23,07:14,NOZ,VOW,Delacruz-Mueller,On Time,Linda Fox,kim94@example.org,BG7773,Delivered
FL6323,2023-08-26,08:36,2023-11-26,22:39,ONU,TFZ,May-Harrison,On Time,Brittany Parker,walkerapril@example.org,BG1881,Delivered
FL4256,2023-08-30,19:59,2023-11-06,07:29,ZHN,EJU,"Martinez, Harris and Smith",Delayed,Adrian Kim,jillclark@example.com,BG6669,Checked-in
FL1479,2023-08-08,16:02,2023-11-04,13:31,PRB,LNW,Decker-Johnson,Cancelled,Darryl Wheeler,karenstewart@example.net,BG5403,Unloaded
FL6072,2023-12-28,10:30,2023-12-28,17:30,ZKW,OYX,"Jones, Robinson and Newton",On Time,Terri Hampton,fishernatalie@example.org,BG8601,Checked-in
FL7398,2023-06-08,22:51,2023-12-18,08:18,TAI,JWW,"Jackson, Sullivan and Montgomery",On Time,Paul Calhoun,brittany54@example.com,BG6325,Unloaded
FL4825,2023-10-30,17:39,2023-11-02,10:33,QMC,MWS,Franklin LLC,On Time,James Thompson,teresalee@example.com,BG1625,Loaded
FL2573,2023-11-04,20:10,2023-11-13,17:42,RLN,TXH,Holmes Inc,On Time,Lori Salinas,joseph64@example.net,BG4532,Delivered
FL9150,2023-12-30,17:34,2023-12-30,06:56,YQG,NAQ,Wagner-Torres,Delayed,Leslie Wells,james37@example.net,BG9519,Delivered
FL4215,2023-04-02,10:19,2023-07-30,13:35,FXY,UNY,Pennington Group,Cancelled,David Perez,millerjoshua@example.org,BG4876,Unloaded
FL8518,2023-04-11,08:19,2023-12-06,02:15,CXI,QFF,Edwards-Henderson,On Time,Jaclyn Brown,broberts@example.org,BG5081,Unloaded
FL1544,2023-10-13,06:53,2023-12-25,12:07,XMX,KFY,"Morris, Jones and Hartman",On Time,Mike Zhang,seansmith@example.org,BG7840,Loaded
FL9191,2023-10-27,17:49,2023-10-30,13:27,QXG,GML,Hernandez-Parker,On Time,Ronald Blair,james41@example.org,BG2117,Loaded
FL0865,2023-04-21,04:54,2023-07-29,09:19,LLS,PWX,Irwin-Clark,On Time,Tiffany Stafford,jpena@example.org,BG1504,Delivered
FL1841,2023-02-03,00:14,2023-07-10,12:24,RNZ,RDV,Hansen and Sons,On Time,Roberto Huynh,elizabethturner@example.net,BG8354,Loaded
FL3952,2023-08-07,21:26,2023-08-30,01:40,GRS,XNE,"Hatfield, Taylor and Hoffman",On Time,Cindy Chavez,elizabeth47@example.org,BG7666,Delivered
FL8160,2023-09-21,20:51,2023-10-13,02:38,DHF,MER,"Hebert, Parrish and Hernandez",On Time,Carolyn Andrews,vwright@example.net,BG8175,Checked-in
